,Strain,Tob,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
169,ESP046,0.0,169,-4.305723952932928,-10.181686379419382,-0.43105063594189597,-7.260488286361964,-24.019193755161247,-32.83671394837216
170,ESP047,1.0,170,54.531356510826576,59.5032424606686,-5.192425281439521,21.95675555649429,26.097367519852515,11.870133080312783
171,ESP050,0.0,171,10.661146155592734,-28.868146955905804,1.439236098772035,-7.33325217356573,-28.448146136075437,-34.18509024083646
172,ESP053,1.0,172,-28.00611133692777,37.71054735993872,15.953720037253866,-3.0702083735058725,-57.63659992354084,11.644053771544229
173,ESP055,0.0,173,-1.5721089785903644,-25.758716261355833,-3.926982055225321,1.1433092482184009,25.434512111731127,5.393259894642874
174,ESP057,0.0,174,1.3001894909617027,-33.778452965325855,-6.698431838172025,-2.6225827567911404,27.82270611632622,-5.116704327384703
175,ESP058,0.0,175,2.5294911530077875,-23.016237380013248,-6.538558532996721,-3.175565568865659,30.512561369583704,-8.027545847315928
176,ESP059,0.0,176,-8.590175543585548,-32.324723998716344,-6.687954413813714,-2.5311702477129767,28.07256640257663,-5.322842701053823
177,ESP060,1.0,177,-27.878667529115514,-10.751403777344086,-4.996255002657953,4.972249757853447,22.331625777025007,17.358663944779018
178,ESP061,1.0,178,38.4180783810317,61.323145627722745,-4.251501507093841,22.126099401349112,25.377814247258247,11.471373825724896
179,ESP063,1.0,179,5.593231727994909,-11.337846819356004,-4.744708817559017,22.901093978778555,25.86381896826433,11.765489523512379
180,ESP064,1.0,180,-8.338254712680602,-34.86415300442159,-4.169916239074071,5.768937762882146,18.84326789919066,27.011500864110793
181,ESP066,0.0,181,-74.2895329051461,30.36744046889978,-4.084225335934002,21.97667684888772,25.759524957485564,12.162802911324697
182,ESP067,0.0,182,-116.88976072168732,-1.8914186833547586,-6.372130322001866,-2.378548042096927,25.58428875380397,-4.8053544357814815
183,ESP068,1.0,183,-130.08714834005087,47.09869490311308,17.81434067742273,0.3890042745480926,-59.752872931388886,21.727108653347777
184,ESP069,1.0,184,-110.5124802486299,33.7605559758775,-4.346419866954384,6.100966032909884,19.08437097397776,26.289328348703457
185,ESP070,0.0,185,-78.34608547113231,0.12237962387618626,6.60080028713277,-0.14587231116461297,-34.511497525210885,-26.11890617611808
187,ESP072,0.0,187,-92.93729107853486,12.162341077038333,-5.370517139552857,-5.849119906599544,23.46941377461952,-7.596946074071617
188,ESP073,0.0,188,-94.13837574024109,-6.516215130904791,-5.38140902269717,-5.743971949992821,24.49170859166004,-9.387425956665794
